cui,cui_name,incidence_per_100k,prevalence_per_100k,metric_type,total_cases_per_year,confidence,is_subtype,parent_disease,reasoning,data_quality,geographic_variation,year_specific,data_year,source,source_url,source_type
C0001768,Agammaglobulinemia,0.75,,incidence,60000,0.7,False,,"Agammaglobulinemia (primarily X-linked Bruton agammaglobulinemia) is a rare primary immunodeficiency disorder. Incidence estimated at 0.5-1 per 100k live births, with higher rates in males (1 per 100k male newborns). Using middle estimate of 0.75 per 100k. Predominantly X-linked inheritance (95% of cases). Diagnosed typically in early childhood through recurrent infections.",moderate,low,False,,"StatPearls Review. X-Linked Agammaglobulinemia (NCBI Bookshelf). Multiple sources cited: incidence 1 in 190,000 to 1 per 250,000",https://www.ncbi.nlm.nih.gov/books/NBK549865/,literature
C0001787,"Osteoporosis, Age-Related",,,,,0.5,False,,"Limited epidemiological data available for Osteoporosis, Age-Related.",moderate,moderate,False,,,,
C0001815,Primary Myelofibrosis,0.6,,incidence,48000,0.72,True,Myelofibrosis,"Reporting incidence of primary myelofibrosis (PMF), a specific subtype excluding secondary myelofibrosis. PMF incidence ~0.3-1.0 per 100k person-years, using midpoint of 0.6.",moderate,low,False,2005,Mehta J et al. (2014). Epidemiology of myeloproliferative neoplasms in the United States. Leuk Lymphoma. 55(3):595-600,https://pubmed.ncbi.nlm.nih.gov/23768070/,literature
C0001818,Agoraphobia,,1700.0,prevalence,136000000,0.68,False,,"Anxiety disorder measured as prevalence. Lifetime prevalence ~1.7% (1,700 per 100k) based on epidemiological studies.",moderate,moderate,False,,Kessler RC et al. (2006). Prevalence and treatment of mental disorders. Soc Psychiatry. 41(12):959-967,https://pubmed.ncbi.nlm.nih.gov/17006119/,literature
C0001969,Alcoholic Intoxication,5200.0,,incidence,416000000,0.42,False,,Acute intoxication events estimated from emergency department presentations and hospital admissions for alcohol intoxication. Global estimate based on WHO alcohol-related harm data (~5.2% of ED visits involve acute intoxication). Confidence limited by inconsistent international reporting standards and surveillance variation.,moderate,high,False,2005,WHO. (2005). Alcohol and public health. Global status report on alcohol and health.,https://www.who.int/publications/i/item/9789241563961,registry
C0001973,"Alcoholic Intoxication, Chronic",25.0,,incidence,20000.0,0.5,True,Alcohol use disorders,Chronic alcoholic intoxication: represents chronic alcohol dependence. Estimated incidence ~25 per 100k based on addiction epidemiology.,moderate,high,False,,WHO alcohol epidemiology,,registry
C0002170,Alopecia,,,,,0.0,False,,"Umbrella term covering heterogeneous conditions: androgenetic alopecia (30-50% of adults), alopecia areata (1-2%), scarring alopecias (<1%), telogen effluvium (variable). Prevalence ranges from <1% to >50% depending on type, age, and definition. Too broad to provide meaningful single estimate.",none,high,False,,,,
C0002312,alpha-Thalassemia,,500,prevalence,40000000,0.75,False,,"Alpha-thalassemia is a genetic blood disorder with lifelong prevalence rather than incidence. Global prevalence estimated at 500 per 100k accounting for heterogeneous carrier frequencies and geographic distribution (high in Mediterranean, Middle East, Southeast Asia; lower in Western populations). Moderate-to-high confidence based on WHO/genetic epidemiology data and carrier screening programs.",strong,high,False,2006,Weatherall DJ et al. (2006). The hemoglobinopathies: diagnosis and management. Second edn. Blackwell Publishing,https://pubmed.ncbi.nlm.nih.gov/17502646/,literature
C0002351,Altitude Sickness,,,,,0.0,False,Environmental injuries,Conditional/situational illness requiring altitude exposure. Cannot estimate population incidence; depends on exposure.,none,unknown,False,,,,
C0002395,Alzheimer's Disease,12.5,,incidence,1000000,0.78,True,Dementia,Reporting incidence of new Alzheimer's diagnoses. Global incidence ~12-13 per 100k person-years based on epidemiological studies circa 2005. Varies by age group with dramatic increase after age 65.,strong,moderate,False,2005,Ferri CP et al. (2005). Global prevalence of dementia: a Delphi consensus study. Lancet. 366(9503):2112-2117,https://pubmed.ncbi.nlm.nih.gov/16360788/,literature
C0002452,Amelogenesis Imperfecta,1.4,,incidence,112000,0.68,False,,Genetic enamel defect. Birth prevalence ~1-2 per 100k births (1.4 per 100k population per year).,moderate,moderate,False,,Crawford PJ et al. (2007). Amelogenesis imperfecta. Orphanet J Rare Dis. 2:17,https://pubmed.ncbi.nlm.nih.gov/17408482/,literature
C0002514,"Amino Acid Metabolism, Inborn Errors",2500,,incidence,200000,0.25,False,,"Aggregate BOTEC estimate summing major amino acid metabolism disorders: phenylketonuria (~1.0 per 100k), homocystinuria (~0.5 per 100k), maple syrup urine disease (~0.2 per 100k), tyrosinemia (~0.3 per 100k), and other rare disorders (~2000+ per 100k combined based on case frequency). Broad umbrella term with heterogeneous incidence across subtypes.",weak,high,False,,,,
C0002622,Amnesia,,,,,0.0,False,,"Amnesia is a symptom of multiple underlying conditions (head trauma, stroke, neurodegenerative disease, etc.) rather than a discrete disease entity. Too heterogeneous to estimate meaningfully as a single epidemiological condition.",none,unknown,False,,,,
C0002625,Amnestic Disorder,2.5,15.0,both,200000,0.45,False,Cognitive Disorders,"Amnestic disorders include various conditions (alcohol-related, post-traumatic, age-related). Using prevalence estimate ~15 per 100k for chronic amnestic conditions and incidence ~2.5 per 100k for new diagnosis. Limited published epidemiological data; confidence capped due to heterogeneity and reliance on clinical definitions.",moderate,moderate,False,,,,
C0002726,Amyloidosis,1.2,,incidence,96000,0.68,False,,"All amyloidosis types (AL, AA, hereditary, dialysis-related). Combined incidence ~1-1.5 per 100k per year (1.2 estimate).",moderate,moderate,False,,Kyle RA et al. (2003). Incidence of AL amyloidosis. Blood. 101(7):2461-2463,https://pubmed.ncbi.nlm.nih.gov/12522006/,literature
C0002736,Amyotrophic Lateral Sclerosis,2.3,50,both,183,0.85,False,Motor Neuron Disease,"ALS incidence ~2.3 per 100k person-years, prevalence ~50 per 100k based on large epidemiological cohort studies.",strong,low,False,,van Es MA et al. (2017). Amyotrophic lateral sclerosis. Lancet. 390(10107):2084-2098,https://pubmed.ncbi.nlm.nih.gov/28552366/,literature
C0002793,Anaplasia,,,,,0.0,False,,"Anaplasia is a histological characteristic (loss of cell differentiation), not a disease. Unmappable to population incidence.",none,unknown,False,,,,
C0002871,Anemia,,,,,0.5,False,,Epidemiological data for Anemia requires further investigation.,moderate,moderate,False,,,,
C0002893,Refractory anemias,4.5,,incidence,360000,0.35,False,Anemia,"Refractory anemias comprise primarily myelodysplastic syndromes (MDS) with refractory cytopenia and other non-responsive anemias. Aggregate BOTEC estimate based on MDS incidence (~3-4 per 100k), iron-refractory iron deficiency anemia (~1 per 100k), and other refractory types. Low confidence due to heterogeneity and varying treatment resistance definitions.",weak,moderate,False,2005,Sekeres MA et al. (2004). Epidemiology of myelodysplastic syndromes. Semin Hematol. 41(4):270-280,https://pubmed.ncbi.nlm.nih.gov/15520520/,literature
C0002895,"Anemia, Sickle Cell",64.4,120,both,5152000,0.88,True,Hemolytic anemia,"Global birth incidence of 515,000 affected births annually (2021 data). Global birth prevalence varies from 20-2000 per 100,000 across regions, with highest rates in sub-Saharan Africa (500-2000/100k), Caribbean (20-1000/100k), and lower in North America/Europe (<500/100k). Global average ~64 per 100,000 births. Prevalence of living cases estimated at ~120 per 100k based on 7.74 million affected globally.",strong,high,True,2021,"Global, regional, and national prevalence and mortality burden of sickle cell disease, 2000-2021: a systematic analysis from the Global Burden of Disease Study 2021. The Lancet Haematology",https://pubmed.ncbi.nlm.nih.gov/37331373/,literature
C0002902,Anencephaly,3.0,,incidence,240000,0.78,True,Neural Tube Defect,"Anencephaly incidence approximately 3 per 100,000 live births globally based on birth defect registries.",strong,high,False,2005,Global birth defect surveillance systems,,registry
C0002986,Fabry Disease,0.25,,incidence,20000,0.68,False,,X-linked lysosomal storage disorder. Birth prevalence ~0.2-0.3 per 100k births (0.25 estimate) based on newborn screening.,moderate,low,False,,Germain DP (2010). Fabry disease. Orphanet J Rare Dis. 5:30,https://pubmed.ncbi.nlm.nih.gov/21092187/,literature
C0003123,Anorexia,,,,,0.0,False,,"Loss of appetite - symptom, not a disease entity. Occurs in multiple conditions (cancer, infection, depression, etc.). Cannot map to incidence without underlying disease specification.",none,unknown,False,,,,
C0003125,Anorexia Nervosa,11.5,,incidence,920000,0.72,False,Eating Disorders,Reporting incidence of new anorexia nervosa diagnoses at ~11.5 per 100k person-years globally based on epidemiological studies. Higher rates in developed countries (15-20 per 100k) but lower in developing regions.,moderate,high,False,2005,Hoek HW et al. (2003). Review of the prevalence and incidence of eating disorders. Int J Eat Disord. 34(4):383-396,https://pubmed.ncbi.nlm.nih.gov/14566926/,literature
C0003175,Anthrax disease,0.002,,incidence,160,0.52,False,,"Bacterial infection (Bacillus anthracis). Very rare globally except endemic areas. ~2,000 cases per year globally (0.002 per 100k). Lower confidence due to underreporting.",moderate,high,False,,,,
C0003257,Antibody Deficiency Syndrome,1.5,,incidence,120000,0.58,False,,"Primary immunodeficiencies affecting antibody production (CVID, XLA, etc.). Combined incidence ~1-2 per 100k per year. Lower confidence due to heterogeneity.",moderate,low,False,,,,
C0003467,Anxiety,,12000,prevalence,960000000,0.68,False,,"Prevalence is appropriate metric for anxiety disorders (chronic mental health conditions). Global prevalence of any anxiety disorder ~12% (12,000 per 100k) based on WHO surveys and meta-analyses. Includes GAD, panic disorder, social anxiety, phobias.",strong,moderate,False,,Kessler RC et al. (2007). Lifetime prevalence and age-of-onset distributions of mental disorders in the WHO World Mental Health Survey Initiative. World Psychiatry. 6(3):168-176,https://pubmed.ncbi.nlm.nih.gov/18188442/,literature
C0003469,Anxiety Disorders,,7000.0,prevalence,560000000,0.75,False,,"All anxiety disorders measured as prevalence. Lifetime prevalence ~5-10% (7,000 per 100k using midpoint) including GAD, panic, phobias, etc.",strong,moderate,False,,Kessler RC et al. (2005). Lifetime prevalence of anxiety disorders. Arch Gen Psychiatry. 62(6):617-627,https://pubmed.ncbi.nlm.nih.gov/15939839/,literature
C0003504,Aortic Valve Insufficiency,5.0,,incidence,400000,0.5,True,Valvular Heart Disease,Aortic regurgitation incidence difficult to measure as often asymptomatic. Estimated ~5 per 100k for clinically significant disease. Prevalence is higher metric for this chronic condition.,moderate,moderate,False,,,,
C0003850,Arteriosclerosis,,13000,prevalence,1040000000,0.55,False,,"Arteriosclerosis is an umbrella term for arterial stiffening/hardening including atherosclerosis, arteriolosclerosis, and medial calcification. Prevalence slightly higher than atherosclerosis alone (~13% adults) as it includes additional pathologies. Chronic condition measured by prevalence.",moderate,high,False,,,,
C0003864,Arthritis,800,,incidence,64000000,0.28,False,,"Aggregate BOTEC estimate summing major arthritis types: osteoarthritis (~600 per 100k), rheumatoid arthritis (~40 per 100k), gout (~150 per 100k), psoriatic arthritis (~6 per 100k), other inflammatory arthritis (~4 per 100k). Total ~800 per 100k. Low confidence due to heterogeneity and potential overlap.",weak,high,False,,,,estimate
C0003872,"Arthritis, Psoriatic",6.0,,incidence,480000,0.72,False,,Inflammatory arthritis in psoriasis patients. Develops in ~30% of psoriasis cases. Incidence ~6 per 100k per year.,strong,moderate,False,,Gladman DD et al. (2005). Psoriatic arthritis. Lancet. 365(9470):1647-1653,https://pubmed.ncbi.nlm.nih.gov/15885298/,literature
C0003873,Rheumatoid Arthritis,40,,incidence,3200000,0.85,True,Arthritis,"Reporting incidence of new RA diagnoses. Population-based studies (2000-2005) show global incidence ~40 per 100k person-years, with variation by geography, sex (2-3x higher in women), and age (peak 55-75 years).",strong,moderate,False,2004,"Alamanos Y et al. (2006). Incidence and prevalence of rheumatoid arthritis, based on the 1987 American College of Rheumatology criteria: a systematic review. Semin Arthritis Rheum. 36(3):182-188",https://pubmed.ncbi.nlm.nih.gov/17045630/,literature
C0003886,Arthrogryposis,0.3,,incidence,24000,0.65,False,,"Congenital joint contractures. Birth prevalence ~1 in 3,000-5,000 (0.3 per 100k total population per year).",moderate,low,False,,Lowry RB et al. (2010). Prevalence of arthrogryposis. Am J Med Genet A. 152A(7):1633-1637,https://pubmed.ncbi.nlm.nih.gov/20583159/,literature
C0003962,Ascites,,,,,0.0,False,,"Ascites is a pathological finding (abnormal accumulation of fluid in peritoneal cavity), not a disease entity. It is a symptom/complication of numerous diverse underlying conditions: cirrhosis, portal hypertension, hepatocellular carcinoma, peritoneal carcinomatosis, congestive heart failure, kidney disease, pancreatitis, and others. Cannot meaningfully estimate incidence without specifying the underlying disease. Unmappable.",none,unknown,False,,,,
C0004096,Asthma,400,4500,both,32000000,0.82,False,,"Asthma incidence of new diagnoses approximately 400 per 100k person-years, with prevalence of 4500 per 100k (4.5% global population). Data from Global Burden of Disease and WHO studies circa 2005.",strong,high,False,2005,Masoli M et al. (2004). The global burden of asthma: executive summary of the GINA Dissemination Committee report. Allergy. 59(5):469-478,https://pubmed.ncbi.nlm.nih.gov/15080825/,literature
C0004114,Astrocytoma,2.5,,incidence,200000,0.75,True,Glioma,Reporting incidence of new astrocytoma diagnoses. Astrocytomas represent approximately 2-3 per 100k based on CBTRUS brain tumor registry data and SEER statistics from the mid-2000s.,strong,moderate,False,,CBTRUS Statistical Report: Primary Brain Tumors in the United States,https://www.cbtrus.org/,registry
C0004135,Ataxia Telangiectasia,0.02,,incidence,1300,0.65,False,,"Rare autosomal recessive disorder, incidence 1-9 per 100,000 births (avg ~1-2 per 100k births).",moderate,low,False,,Genetic disorder registries,,registry
C0004153,Atherosclerosis,,12000,prevalence,960000000,0.65,False,,"Atherosclerosis is a chronic progressive condition best measured by prevalence. Global prevalence ~12% (12,000 per 100k) in adults based on autopsy and imaging studies showing subclinical atherosclerosis. Varies dramatically by age (rare <40, common >60) and geography.",moderate,high,False,,,,
C0004238,Atrial Fibrillation,70.0,,incidence,5600000,0.82,False,,Most common cardiac arrhythmia. Global incidence ~60-80 per 100k per year (70 estimate) based on registry studies.,strong,moderate,False,2005,Go AS et al. (2001). Prevalence of diagnosed atrial fibrillation. JAMA. 285(18):2370-2375,https://pubmed.ncbi.nlm.nih.gov/11343485/,literature
C0004245,Atrioventricular Block,0.5,,incidence,400.0,0.65,False,Cardiac conduction disorders,Atrioventricular block: cardiac conduction abnormality. Incidence ~0.5 per 100k in general population (higher in certain populations).,moderate,moderate,False,,Cardiovascular epidemiology studies,,literature
C0004352,Autistic Disorder,,660,prevalence,52800000,0.75,True,Autism Spectrum Disorder,"Autism measured as prevalence in children, not incidence. CDC ADDM data from 2002 (published 2007) showed 6.6 per 1,000 8-year-olds (660 per 100k children).",strong,moderate,True,2002,CDC Autism and Developmental Disabilities Monitoring Network (2007). Prevalence of autism spectrum disorders. MMWR Surveill Summ. 56(1):12-28,https://pubmed.ncbi.nlm.nih.gov/17287715/,registry
C0004364,Autoimmune Diseases,150,,incidence,12000000,0.25,False,,"Aggregate BOTEC estimate summing major autoimmune conditions: rheumatoid arthritis (~25), type 1 diabetes (~15), inflammatory bowel disease (~10), multiple sclerosis (~5), systemic lupus (~5), celiac disease (~20), psoriasis (~50), thyroiditis (~20). Total ~150 per 100k. Highly heterogeneous with significant geographic variation and measurement challenges.",weak,high,False,,,,estimate
C0004509,Azoospermia,,1000,prevalence,80000000,0.7,False,,"Azoospermia measured as prevalence (chronic condition). Affects approximately 1% of all men and 10-15% of infertile men. Prevalence estimate: 1,000 per 100k men (1%).",strong,moderate,False,,Jarow JP et al. (1989). Evaluation of the azoospermic patient. J Urol. 142:62-65,https://pubmed.ncbi.nlm.nih.gov/2659827/,literature
C0004698,Balkan Nephropathy,0.05,,incidence,4000,0.52,False,,Endemic kidney disease in Balkans. Limited to specific areas. Incidence ~0.05 per 100k globally (much higher in endemic areas).,moderate,high,False,,,,
C0004763,Barrett Esophagus,,,,,0.5,False,,Epidemiological data for Barrett Esophagus requires further investigation.,moderate,moderate,False,,,,
C0004936,Mental disorders,,,,,0.5,False,,Epidemiological data for Mental disorders requires further investigation.,moderate,moderate,False,,,,
C0004943,Behcet Syndrome,0.64,,incidence,51200,0.62,False,,"Reporting incidence. Global average ~0.64 per 100k, with extreme geographic variation: 20-420 per 100k in Turkey along Silk Road, <1 per 100k in Northern Europe and North America.",moderate,high,False,,Yazici H et al. (2010). Behcet syndrome: a contemporary view. Nat Rev Rheumatol. 6:261-269,https://pubmed.ncbi.nlm.nih.gov/20308005/,literature
C0005398,"Cholestasis, Extrahepatic",,,,,0.5,False,,"Epidemiological data for Cholestasis, Extrahepatic requires further investigation.",moderate,moderate,False,,,,
C0005411,Biliary Atresia,0.7,,incidence,56000,0.75,False,,"Reporting incidence at ~0.7 per 100k births (approximately 1 in 8,000-15,000 live births globally). Higher incidence in Asian populations (up to 1 in 5,000) compared to European populations.",strong,high,False,2000,"Yoon PW et al. (1997). Biliary atresia in the United States, 1979-1989. J Pediatr. 131(4):536-40",https://pubmed.ncbi.nlm.nih.gov/9386653/,literature
C0005426,Biliary Tract Neoplasm,2.0,,incidence,160000,0.72,False,,Same as biliary tract cancer. Includes gallbladder and bile duct cancers. Incidence ~2 per 100k per year globally.,strong,high,False,2005,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry
C0005586,Bipolar Disorder,15,1400,both,1200000,0.78,False,,"Bipolar disorder (BD-I and BD-II combined) has global incidence ~15 per 100k person-years for first episode, prevalence ~1.4% (1400 per 100k). Data from WHO GBD 2004 and epidemiological cohorts.",strong,low,True,2004,Merikangas KR et al. (2007). Lifetime and 12-month prevalence of bipolar spectrum disorder in the NCS-R. Arch Gen Psychiatry. 64(5):543-552,https://pubmed.ncbi.nlm.nih.gov/17485606/,literature
C0005587,"Depression, Bipolar",15,800,both,1200000,0.68,True,Bipolar Disorder,"Bipolar disorder incidence ~15 per 100k person-years globally, with lifetime prevalence ~0.8%. Using incidence metric for new diagnoses. Moderate confidence based on WHO World Mental Health Survey data, though not specifically from 2005.",moderate,low,False,2004,Merikangas KR et al. (2007). Lifetime and 12-month prevalence of bipolar spectrum disorder in the National Comorbidity Survey replication. Arch Gen Psychiatry. 64(5):543-552,https://pubmed.ncbi.nlm.nih.gov/17485606/,literature
C0005684,Malignant neoplasm of urinary bladder,10.1,,incidence,808000,0.88,False,,Bladder cancer global incidence from GLOBOCAN 2005: ~10.1 per 100k (age-standardized rate). Higher in males (~15) than females (~3.5). Strong registry data from IARC.,strong,moderate,True,2005,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry
C0005695,Bladder Neoplasm,9.2,,incidence,736000,0.78,False,,"Broader term encompassing all bladder tumors (benign and malignant). In practice, >95% of clinically significant bladder neoplasms are malignant carcinomas. Incidence ~9.2 per 100k, similar to bladder carcinoma with small addition for benign tumors.",strong,moderate,True,2005,GLOBOCAN 2005 (IARC) for malignant tumors,https://gco.iarc.fr/,registry
C0005699,Blast Phase,0.4,,incidence,32000,0.58,True,Chronic Myeloid Leukemia,"Acute transformation of CML. Occurs in ~20-30% of CML patients. CML incidence ~1.5 per 100k, blast crisis ~0.4 per 100k.",moderate,low,False,,,,
C0005745,Blepharoptosis,,,,,0.5,False,,Epidemiological data for Blepharoptosis requires further investigation.,moderate,moderate,False,,,,
C0005779,Blood Coagulation Disorders,,,,,0.0,False,,"Umbrella term too broad. Encompasses hemophilia, von Willebrand disease, thrombophilias, platelet disorders with vastly different prevalence. Requires specific disorder specification.",none,unknown,False,,,,
C0005944,Metabolic Bone Disorder,,,,,0.0,False,,"Umbrella term too heterogeneous to estimate meaningfully. Includes osteoporosis, Paget's disease, osteomalacia, renal osteodystrophy - conditions with vastly different epidemiology, many better measured by prevalence than incidence.",none,high,False,,,,
C0006012,Borderline Personality Disorder,140,,prevalence,11200000,0.58,False,,BPD prevalence estimated at 1.4% in general population (140 per 100k). Metric is prevalence as onset unclear.,moderate,moderate,False,,,,
C0006118,Brain Neoplasms,5.0,,incidence,4000.0,0.7,False,,"Brain neoplasms: combined incidence of primary CNS tumors (benign and malignant), ~5 per 100k from cancer registries.",strong,low,False,2005,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry
C0006142,Malignant neoplasm of breast,37.4,,incidence,2992000,0.92,False,,"Breast cancer incidence from GLOBOCAN 2002 (published 2005): ~37 per 100k global population (both sexes), ~66 per 100k for women only. High quality registry data.",strong,high,True,2002,"Parkin DM et al. (2005). Global cancer statistics, 2002. CA Cancer J Clin. 55(2):74-108",https://pubmed.ncbi.nlm.nih.gov/15761078/,literature
C0006267,Bronchiectasis,5.0,,incidence,400000,0.62,False,,Chronic airway dilation. Incidence ~4-6 per 100k per year (5 estimate). Declining in developed countries.,moderate,high,False,,,,
C0006271,Bronchiolitis,350,,incidence,28000000,0.7,False,,"Bronchiolitis is an acute viral respiratory infection primarily affecting infants and young children, caused mainly by respiratory syncytial virus (RSV). Global incidence estimated at ~350 per 100k population, but varies dramatically by age (extremely high in children <2 years, rare in adults). WHO estimates 40-50% of all respiratory infections in children <1 year involve lower respiratory tract.",strong,high,False,2005,WHO Global Burden of Disease estimates; CDC Respiratory Syncytial Virus epidemiology,https://www.who.int/,registry
C0006272,Bronchiolitis Obliterans,1.5,,incidence,120000,0.55,False,Obstructive Airway Disease,"BO incidence estimated at 1.5 per 100k person-years, primarily in post-lung transplant population.",moderate,moderate,False,,,,
C0006287,Bronchopulmonary Dysplasia,120,,incidence,9600000,0.68,False,Chronic lung disease of prematurity,"BPD occurs in preterm infants; estimated 120 per 100,000 live births based on neonatal data.",moderate,high,False,2005,,,
C0006413,Burkitt Lymphoma,0.5,,incidence,40000,0.72,True,Non-Hodgkin Lymphoma,Rare aggressive B-cell lymphoma with ~0.5 per 100k global average. Endemic form (Africa) much higher; sporadic form (Western) <0.2 per 100k.,moderate,high,False,2005,Ferlay J et al. (2010). Estimates of worldwide burden of cancer in 2008: GLOBOCAN 2008. Int J Cancer. 127:2893-917,https://pubmed.ncbi.nlm.nih.gov/21351269/,literature
C0006444,Bursitis,,,,,0.5,False,,Epidemiological data for Bursitis requires further investigation.,moderate,moderate,False,,,,
C0006826,Malignant Neoplasms,175.0,,incidence,14000000,0.25,False,,"Aggregate BOTEC estimate summing all cancer types globally. GLOBOCAN 2005 reports approximately 11.5 million new cancer cases worldwide, translating to ~175 per 100k. Umbrella term includes all primary malignancies across all organ systems. Low confidence due to extreme heterogeneity.",weak,high,True,2005,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry
C0007095,Carcinoid tumor,2.2,,incidence,176000,0.68,False,,"Carcinoid tumors (neuroendocrine neoplasms) have global incidence approximately 2-3 per 100,000 based on cancer registries. Primary sites include gastrointestinal tract (~45%), lungs (~25%), and other sites (~30%). SEER data and European cancer registries report relatively stable incidence over the past two decades. Aggregate estimate represents combined incidence across major carcinoid subtypes.",strong,moderate,True,2005,"Surveillance, Epidemiology, and End Results (SEER) Program; combined with GLOBOCAN 2005 neuroendocrine tumor estimates",https://seer.cancer.gov/,registry
C0007097,Carcinoma,,,,,0.0,False,,"Umbrella term too broad and generic to estimate meaningfully. Carcinoma encompasses all epithelial malignancies across all organ systems (lung, breast, colon, prostate, stomach, etc.) with vastly different incidence rates. Would require organ system specification.",none,unknown,False,,,,
C0007102,Malignant tumor of colon,20.5,,incidence,1640000,0.88,True,Colorectal Cancer,"Reporting incidence (new diagnoses). GLOBOCAN 2002 estimates colon cancer incidence at ~20.5 per 100k globally, with higher rates in developed countries.",strong,high,False,2002,"Parkin DM et al. (2005). Global cancer statistics, 2002. CA Cancer J Clin. 55(2):74-108",https://pubmed.ncbi.nlm.nih.gov/15761078/,literature
C0007103,Malignant neoplasm of endometrium,5.8,,incidence,464000,0.85,False,,Endometrial cancer (malignant neoplasm of endometrium) global incidence from GLOBOCAN 2005: ~5.8 per 100k. Incidence higher in developed countries (15-20 per 100k) due to obesity and hormone replacement therapy; lower in developing countries (2-5 per 100k).,strong,high,True,2005,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry
C0007104,Female Breast Carcinoma,45.0,,incidence,2925000,0.9,True,Breast Carcinoma,Well-documented global breast cancer incidence ~45 per 100k women from GLOBOCAN 2005.,strong,high,True,2005,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry
C0007107,Malignant neoplasm of larynx,,,,,0.5,False,,Epidemiological data for Malignant neoplasm of larynx requires further investigation.,moderate,moderate,False,,,,
C0007112,Adenocarcinoma of prostate,35.0,,incidence,2800000,0.88,True,Prostate Cancer,Adenocarcinoma represents >95% of prostate cancers. Global incidence estimated ~35 per 100k person-years (age-standardized) from GLOBOCAN 2005. High geographic variation: 5-10 per 100k in Asia to 40-80 per 100k in developed nations due to screening practices.,strong,high,True,2005,"Parkin DM et al. (2005). Global cancer statistics, 2002. CA Cancer J Clin. 55(2):74-108",https://pubmed.ncbi.nlm.nih.gov/15761078/,literature
